Date;Close(SAND.ST)
2019-02-21 15:00;152.7
2019-02-21 14:30;152.5
2019-02-21 14:00;152.65
2019-02-21 13:30;152.85
2019-02-21 13:00;153.25
2019-02-21 12:30;153.3
2019-02-21 12:00;152.55
2019-02-21 11:30;152.35
2019-02-21 11:00;152.85
2019-02-21 10:30;153.8
2019-02-21 10:00;153.2
2019-02-21 09:30;153.7
2019-02-20 17:30;152.4
2019-02-20 17:00;152.2
2019-02-20 16:30;152.35
2019-02-20 16:00;151.6
2019-02-20 15:30;150.55
2019-02-20 15:00;151
2019-02-20 14:30;150.8
2019-02-20 14:00;151.05
2019-02-20 13:30;151.2
2019-02-20 13:00;150.6
2019-02-20 12:30;150.55
2019-02-20 12:00;150.1
2019-02-20 11:30;150.2
2019-02-20 11:00;150.1
2019-02-20 10:30;150.45
2019-02-20 10:00;149.5
2019-02-20 09:30;150
2019-02-19 17:30;148.4
2019-02-19 17:00;147.95
2019-02-19 16:30;148.3
2019-02-19 16:00;148.7
2019-02-19 15:30;148.2
2019-02-19 15:00;148.15
2019-02-19 14:30;148.35
2019-02-19 14:00;148.45
2019-02-19 13:30;148.8
2019-02-19 13:00;148.4
2019-02-19 12:30;148.35
2019-02-19 12:00;149.05
2019-02-19 11:30;149.2
2019-02-19 11:00;148.95
2019-02-19 10:30;149.15
2019-02-19 10:00;149.4
2019-02-19 09:30;148.85
2019-02-18 17:30;149.65
2019-02-18 17:00;149.6
2019-02-18 16:30;149.5
2019-02-18 16:00;148.85
2019-02-18 15:30;149.9
2019-02-18 15:00;149.8
2019-02-18 14:30;149.75
2019-02-18 14:00;149.25
2019-02-18 13:30;149
2019-02-18 13:00;149.1
2019-02-18 12:30;149.2
2019-02-18 12:00;149.25
2019-02-18 11:30;149.4
2019-02-18 11:00;149.45
2019-02-18 10:30;149.55
2019-02-18 10:00;149.4
2019-02-18 09:30;150.35
2019-02-15 17:30;151.15
2019-02-15 17:00;150.95
2019-02-15 16:30;151.1
2019-02-15 16:00;150.4
2019-02-15 15:30;150.55
2019-02-15 15:00;150.6
2019-02-15 14:30;150.25
2019-02-15 14:00;149.65
2019-02-15 13:30;149.05
2019-02-15 13:00;148.7
2019-02-15 12:30;149.1
2019-02-15 12:00;148.7
2019-02-15 11:30;147.9
2019-02-15 11:00;147.95
2019-02-15 10:30;147.3
2019-02-15 10:00;146.8
2019-02-15 09:30;147.05
2019-02-14 17:30;147
2019-02-14 17:00;147.55
2019-02-14 16:30;147
2019-02-14 16:00;146.9
2019-02-14 15:30;147
2019-02-14 15:00;147.3
2019-02-14 14:30;148.3
2019-02-14 14:00;147.55
2019-02-14 13:30;147.45
2019-02-14 13:00;147.4
2019-02-14 12:30;147.65
2019-02-14 12:00;146.95
2019-02-14 11:30;147.2
2019-02-14 11:00;146.5
2019-02-14 10:30;147
2019-02-14 10:00;146.15
2019-02-14 09:30;146.35
2019-02-13 17:30;145.35
2019-02-13 17:00;145.1
2019-02-13 16:30;145.2
2019-02-13 16:00;145.3
2019-02-13 15:30;145.75
2019-02-13 15:00;146.1
2019-02-13 14:30;145.75
2019-02-13 14:00;145.6
2019-02-13 13:30;145.1
2019-02-13 13:00;145.05
2019-02-13 12:30;145.3
2019-02-13 12:00;145.1
2019-02-13 11:30;144.85
2019-02-13 11:00;145.15
2019-02-13 10:30;144.95
2019-02-13 10:00;144.8
2019-02-13 09:30;145.85
2019-02-12 17:30;144.9
2019-02-12 17:00;145.2
2019-02-12 16:30;144.85
2019-02-12 16:00;145.05
2019-02-12 15:30;144.4
2019-02-12 15:00;143.7
2019-02-12 14:30;143.85
2019-02-12 14:00;143.85
2019-02-12 13:30;143.75
2019-02-12 13:00;143.95
2019-02-12 12:30;144.2
2019-02-12 12:00;143.95
2019-02-12 11:30;144.3
2019-02-12 11:00;143.9
2019-02-12 10:30;144.3
2019-02-12 10:00;144.25
2019-02-12 09:30;143.55
2019-02-11 17:30;143.45
2019-02-11 17:00;143.5
2019-02-11 16:30;143.3
2019-02-11 16:00;143.9
2019-02-11 15:30;144
2019-02-11 15:00;144.1
2019-02-11 14:30;144.5
2019-02-11 14:00;144.3
2019-02-11 13:30;143.9
2019-02-11 13:00;143.6
2019-02-11 12:30;144
2019-02-11 12:00;144.5
2019-02-11 11:30;144.7
2019-02-11 11:00;144.6
2019-02-11 10:30;144.15
2019-02-11 10:00;144.2
2019-02-11 09:30;143.5
2019-02-08 17:30;141.8
2019-02-08 17:00;141.85
2019-02-08 16:30;142.2
2019-02-08 16:00;142.7
2019-02-08 15:30;142.95
2019-02-08 15:00;143
2019-02-08 14:30;143.2
2019-02-08 14:00;143.1
2019-02-08 13:30;143.1
2019-02-08 13:00;143.3
2019-02-08 12:30;143.7
2019-02-08 12:00;143.95
2019-02-08 11:30;143.95
2019-02-08 11:00;143.5
2019-02-08 10:30;143.55
2019-02-08 10:00;143.4
2019-02-08 09:30;142.95
2019-02-07 17:30;142.9
2019-02-07 17:00;143.95
2019-02-07 16:30;144.55
2019-02-07 16:00;144.55
2019-02-07 15:30;144.75
2019-02-07 15:00;145
2019-02-07 14:30;145.15
2019-02-07 14:00;145.3
2019-02-07 13:30;145.9
2019-02-07 13:00;145.9
2019-02-07 12:30;145.75
2019-02-07 12:00;145.7
2019-02-07 11:30;145.2
2019-02-07 11:00;146.05
2019-02-07 10:30;145.9
2019-02-07 10:00;146.5
2019-02-07 09:30;146.5
2019-02-06 17:30;147
2019-02-06 17:00;147.2
2019-02-06 16:30;146.95
2019-02-06 16:00;147.1
2019-02-06 15:30;146.85
2019-02-06 15:00;146.85
2019-02-06 14:30;146.5
2019-02-06 14:00;146.4
2019-02-06 13:30;146.25
2019-02-06 13:00;146.25
2019-02-06 12:30;146.4
2019-02-06 12:00;146.55
2019-02-06 11:30;146.75
2019-02-06 11:00;146.7
2019-02-06 10:30;146.45
2019-02-06 10:00;146.5
2019-02-06 09:30;146.85
2019-02-05 17:30;145.85
2019-02-05 17:00;145.6
2019-02-05 16:30;145.6
2019-02-05 16:00;145.4
2019-02-05 15:30;145.65
2019-02-05 15:00;145.4
2019-02-05 14:30;145.7
2019-02-05 14:00;145.75
2019-02-05 13:30;146.1
2019-02-05 13:00;146.1
2019-02-05 12:30;146.65
2019-02-05 12:00;146.1
2019-02-05 11:30;146.1
2019-02-05 11:00;145.75
2019-02-05 10:30;146.2
2019-02-05 10:00;145.95
2019-02-05 09:30;145.15
2019-02-04 17:30;145.35
2019-02-04 17:00;145.4
2019-02-04 16:30;145.05
2019-02-04 16:00;145.45
2019-02-04 15:30;145.3
2019-02-04 15:00;145.35
2019-02-04 14:30;145.65
2019-02-04 14:00;145.6
2019-02-04 13:30;145.45
2019-02-04 13:00;145
2019-02-04 12:30;145.1
2019-02-04 12:00;144.9
2019-02-04 11:30;145.75
2019-02-04 11:00;145.8
2019-02-04 10:30;145.9
2019-02-04 10:00;144.9
2019-02-04 09:30;145.05
2019-02-01 17:30;145.4
2019-02-01 17:00;144.85
2019-02-01 16:30;145
2019-02-01 16:00;144.45
2019-02-01 15:30;145.25
2019-02-01 15:00;145
2019-02-01 14:30;144.8
2019-02-01 14:00;144.55
2019-02-01 13:30;144.5
2019-02-01 13:00;144.8
2019-02-01 12:30;145.05
2019-02-01 12:00;144.8
2019-02-01 11:30;144.85
2019-02-01 11:00;144.8
2019-02-01 10:30;144.9
2019-02-01 10:00;144.5
2019-02-01 09:30;144.45
2019-01-31 17:30;144.3
2019-01-31 17:00;144.05
2019-01-31 16:30;143.95
2019-01-31 16:00;144.15
2019-01-31 15:30;144.3
2019-01-31 15:00;144.45
2019-01-31 14:30;144.4
2019-01-31 14:00;145.05
2019-01-31 13:30;145.5
2019-01-31 13:00;145.5
2019-01-31 12:30;145.3
2019-01-31 12:00;145.55
2019-01-31 11:30;145.4
2019-01-31 11:00;146.35
2019-01-31 10:30;146.4
2019-01-31 10:00;146.55
2019-01-31 09:30;146.9
2019-01-30 17:30;145.3
2019-01-30 17:00;145.35
2019-01-30 16:30;145.45
2019-01-30 16:00;145.35
2019-01-30 15:30;145.85
2019-01-30 15:00;145.4
2019-01-30 14:30;144.85
2019-01-30 14:00;145.05
2019-01-30 13:30;145.1
2019-01-30 13:00;145.45
2019-01-30 12:30;145.45
2019-01-30 12:00;145.5
2019-01-30 11:30;145.5
2019-01-30 11:00;145.6
2019-01-30 10:30;145.85
2019-01-30 10:00;146.05
2019-01-30 09:30;146.3
2019-01-29 17:30;145.85
2019-01-29 17:00;145.95
2019-01-29 16:30;146.1
2019-01-29 16:00;146.2
2019-01-29 15:30;146.1
2019-01-29 15:00;146.4
2019-01-29 14:30;146.1
2019-01-29 14:00;145.45
2019-01-29 13:30;144.95
2019-01-29 13:00;144.7
2019-01-29 12:30;144.45
2019-01-29 12:00;144.45
2019-01-29 11:30;144.7
2019-01-29 11:00;144
2019-01-29 10:30;144.35
2019-01-29 10:00;144.55
2019-01-29 09:30;143.2
2019-01-28 17:30;143.4
2019-01-28 17:00;143.25
2019-01-28 16:30;143.1
2019-01-28 16:00;143.3
2019-01-28 15:30;143.3
2019-01-28 15:00;143.45
2019-01-28 14:30;143.7
2019-01-28 14:00;144
2019-01-28 13:30;144.65
2019-01-28 13:00;144.4
2019-01-28 12:30;144.6
2019-01-28 12:00;143.6
2019-01-28 11:30;143.55
2019-01-28 11:00;143.5
2019-01-28 10:30;143.2
2019-01-28 10:00;143.2
2019-01-28 09:30;142.15
2019-01-25 17:30;143.5
2019-01-25 17:00;143.45
2019-01-25 16:30;143.3
2019-01-25 16:00;143
2019-01-25 15:30;142.65
2019-01-25 15:00;142.3
2019-01-25 14:30;142.45
2019-01-25 14:00;142.15
2019-01-25 13:30;141.8
2019-01-25 13:00;142
2019-01-25 12:30;142.25
2019-01-25 12:00;141.8
2019-01-25 11:30;141.55
2019-01-25 11:00;142.05
2019-01-25 10:30;142.3
2019-01-25 10:00;142.55
2019-01-25 09:30;141.55
2019-01-24 17:30;140.35
2019-01-24 17:00;140.2
2019-01-24 16:30;140.15
2019-01-24 16:00;139.55
2019-01-24 15:30;139.25
2019-01-24 15:00;139.8
2019-01-24 14:30;140.5
2019-01-24 14:00;140.05
2019-01-24 13:30;140.1
2019-01-24 13:00;140
2019-01-24 12:30;140
2019-01-24 12:00;140.25
2019-01-24 11:30;140.1
2019-01-24 11:00;139.95
2019-01-24 10:30;139.35
2019-01-24 10:00;139.65
2019-01-24 09:30;139.15
2019-01-23 17:30;138.5
2019-01-23 17:00;138.25
2019-01-23 16:30;138.5
2019-01-23 16:00;139.35
2019-01-23 15:30;139.45
2019-01-23 15:00;139.35
2019-01-23 14:30;139.5
2019-01-23 14:00;139.35
2019-01-23 13:30;139.45
2019-01-23 13:00;139.4
2019-01-23 12:30;139.2
2019-01-23 12:00;139.3
2019-01-23 11:30;139.45
2019-01-23 11:00;139.65
2019-01-23 10:30;139.4
2019-01-23 10:00;138.85
2019-01-23 09:30;138.3
2019-01-22 17:30;140.25
2019-01-22 17:00;140.15
2019-01-22 16:30;140.2
2019-01-22 16:00;139.75
2019-01-22 15:30;140.25
2019-01-22 15:00;140.1
2019-01-22 14:30;140.55
2019-01-22 14:00;140.3
2019-01-22 13:30;140.7
2019-01-22 13:00;140.3
2019-01-22 12:30;140.2
2019-01-22 12:00;140.4
2019-01-22 11:30;141.05
2019-01-22 11:00;141.5
2019-01-22 10:30;142.1
2019-01-22 10:00;141.9
2019-01-22 09:30;142.65
2019-01-21 17:30;141.4
2019-01-21 17:00;141.4
2019-01-21 16:30;141.1
2019-01-21 16:00;140
2019-01-21 15:30;139.95
2019-01-21 15:00;139.15
2019-01-21 14:30;139.15
2019-01-21 14:00;139.55
2019-01-21 13:30;139.1
2019-01-21 13:00;138.95
2019-01-21 12:30;139
2019-01-21 12:00;138.25
2019-01-21 11:30;137.1
2019-01-21 11:00;136.6
2019-01-21 10:30;137.9
2019-01-21 10:00;138.9
2019-01-21 09:30;140.1
2019-01-18 17:30;139.25
2019-01-18 17:00;138.95
2019-01-18 16:30;138.3
2019-01-18 16:00;138.15
2019-01-18 15:30;138.45
2019-01-18 15:00;138.35
2019-01-18 14:30;138.15
2019-01-18 14:00;138.4
2019-01-18 13:30;138.25
2019-01-18 13:00;138.2
2019-01-18 12:30;138.55
2019-01-18 12:00;138.4
2019-01-18 11:30;138.15
2019-01-18 11:00;138.2
2019-01-18 10:30;138.3
2019-01-18 10:00;137.95
2019-01-18 09:30;138.25
2019-01-17 17:30;135.65
2019-01-17 17:00;135.35
2019-01-17 16:30;135.3
2019-01-17 16:00;134.95
2019-01-17 15:30;134.85
2019-01-17 15:00;135.15
2019-01-17 14:30;134.85
2019-01-17 14:00;134.7
2019-01-17 13:30;134.6
2019-01-17 13:00;134.75
2019-01-17 12:30;134.95
2019-01-17 12:00;134.7
2019-01-17 11:30;134.65
2019-01-17 11:00;134.55
2019-01-17 10:30;135
2019-01-17 10:00;135.4
2019-01-17 09:30;133.85
2019-01-16 17:30;135.15
2019-01-16 17:00;135.5
2019-01-16 16:30;135.4
2019-01-16 16:00;135.85
2019-01-16 15:30;135.75
2019-01-16 15:00;135.6
2019-01-16 14:30;135.5
2019-01-16 14:00;135.4
2019-01-16 13:30;134.9
2019-01-16 13:00;134.8
2019-01-16 12:30;134.2
2019-01-16 12:00;134
2019-01-16 11:30;134.15
2019-01-16 11:00;134
2019-01-16 10:30;133.55
2019-01-16 10:00;133.9
2019-01-16 09:30;134.3
2019-01-15 17:30;133.65
2019-01-15 17:00;133.75
2019-01-15 16:30;133.2
2019-01-15 16:00;133.15
2019-01-15 15:30;133.45
2019-01-15 15:00;133.6
2019-01-15 14:30;134.1
2019-01-15 14:00;134.6
2019-01-15 13:30;135.35
2019-01-15 13:00;135.7
2019-01-15 12:30;135.8
2019-01-15 12:00;135.6
2019-01-15 11:30;135.65
2019-01-15 11:00;135.4
2019-01-15 10:30;136.5
2019-01-15 10:00;136.6
2019-01-15 09:30;136.05
2019-01-14 17:30;134
2019-01-14 17:00;134.2
2019-01-14 16:30;134.1
2019-01-14 16:00;134.1
2019-01-14 15:30;133.6
2019-01-14 15:00;133.5
2019-01-14 14:30;133.55
2019-01-14 14:00;133.75
2019-01-14 13:30;133.9
