sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-11-30;4,698;4,811;4,886;4,886;4,698;4,811;4,768;83521,24049322803;398207,9;79;
2017-11-29;4,736;4,811;4,886;4,886;4,736;4,811;4,844;95076,36680009738;460550,3;91;
2017-11-28;4,848;4,961;5,036;5,036;4,848;4,886;4,93;109228,27028299817;538492,25;113;
2017-11-27;4,886;4,924;4,773;4,999;4,773;4,961;4,885;149825,5290334854;731917,2;169;
2017-11-24;4,698;4,736;4,924;5,112;4,661;4,736;4,879;146213,72061497858;713443,5;148;
2017-11-23;4,961;5,036;5,187;5,187;4,924;5,036;4,993;70409,64426015131;351524,65;83;
2017-11-22;5,112;5,149;5,187;5,262;5,112;5,149;5,21;104862,17259256007;546386,1;106;
2017-11-21;5,112;5,149;4,961;5,187;4,961;5,149;5,10;156986,62101021552;800567,35;149;
2017-11-20;4,924;4,961;4,886;4,961;4,773;4,961;4,899;90347,09279354424;442611,15;91;
2017-11-17;4,811;4,886;4,886;4,924;4,736;4,811;4,815;39830,99663296976;191805,75;58;
2017-11-16;4,811;4,886;4,848;4,924;4,773;4,811;4,874;80848,6352951506;394089;79;
2017-11-15;4,736;4,848;4,661;4,848;4,623;4,848;4,743;112875,99723826362;535399,3;121;
2017-11-14;4,623;4,661;4,811;4,811;4,548;4,661;4,63;119470,37452391311;553136,05;104;
2017-11-13;4,698;4,811;4,811;4,924;4,661;4,811;4,753;129324,02644136433;614622,5;88;
2017-11-10;4,924;4,961;4,886;4,961;4,698;4,924;4,894;160547,877414025;785724,65;136;
2017-11-09;4,811;4,848;4,924;4,961;4,773;4,811;4,866;124761,04195684189;607057,65;100;
2017-11-08;4,886;4,924;4,924;4,924;4,773;4,924;4,85;54602,827454000995;264814,95;65;
