time,Ask Close,Bid Close
2017-01-02T22:00:00.000000000Z,9.54167,9.52850
2017-01-03T22:00:00.000000000Z,9.55763,9.54533
2017-01-04T22:00:00.000000000Z,9.54979,9.52993
2017-01-05T22:00:00.000000000Z,9.56329,9.51829
2017-01-08T22:00:00.000000000Z,9.57194,9.55905
2017-01-09T22:00:00.000000000Z,9.59315,9.57961
2017-01-10T22:00:00.000000000Z,9.55855,9.54542
2017-01-11T22:00:00.000000000Z,9.50415,9.49577
2017-01-12T22:00:00.000000000Z,9.51110,9.45544
2017-01-15T22:00:00.000000000Z,9.49377,9.48361
2017-01-16T22:00:00.000000000Z,9.52272,9.51248
2017-01-17T22:00:00.000000000Z,9.52330,9.51033
2017-01-18T22:00:00.000000000Z,9.54990,9.53782
2017-01-19T22:00:00.000000000Z,9.51409,9.49311
2017-01-22T22:00:00.000000000Z,9.51129,9.49730
2017-01-23T22:00:00.000000000Z,9.49941,9.49075
2017-01-24T22:00:00.000000000Z,9.48300,9.47316
2017-01-25T22:00:00.000000000Z,9.44780,9.43873
2017-01-26T22:00:00.000000000Z,9.49347,9.43604
2017-01-29T22:00:00.000000000Z,9.45380,9.43850
2017-01-30T22:00:00.000000000Z,9.44495,9.43550
2017-01-31T22:00:00.000000000Z,9.43165,9.41749
2017-02-01T22:00:00.000000000Z,9.42064,9.40897
2017-02-02T22:00:00.000000000Z,9.46882,9.43044
2017-02-05T22:00:00.000000000Z,9.49303,9.47870
2017-02-06T22:00:00.000000000Z,9.48586,9.47663
2017-02-07T22:00:00.000000000Z,9.45733,9.44884
2017-02-08T22:00:00.000000000Z,9.49535,9.48038
2017-02-09T22:00:00.000000000Z,9.49849,9.48267
2017-02-12T22:00:00.000000000Z,9.48138,9.46895
2017-02-13T22:00:00.000000000Z,9.45650,9.44349
2017-02-14T22:00:00.000000000Z,9.45988,9.45152
2017-02-15T22:00:00.000000000Z,9.46180,9.45187
2017-02-16T22:00:00.000000000Z,9.47069,9.44700
2017-02-19T22:00:00.000000000Z,9.48965,9.47763
2017-02-20T22:00:00.000000000Z,9.46266,9.45426
2017-02-21T22:00:00.000000000Z,9.48133,9.46958
2017-02-22T22:00:00.000000000Z,9.52397,9.50748
2017-02-23T22:00:00.000000000Z,9.55760,9.53167
2017-02-26T22:00:00.000000000Z,9.60065,9.59020
2017-02-27T22:00:00.000000000Z,9.56105,9.55631
2017-02-28T22:00:00.000000000Z,9.54656,9.54212
2017-03-01T22:00:00.000000000Z,9.54951,9.54125
2017-03-02T22:00:00.000000000Z,9.54490,9.53336
2017-03-05T22:00:00.000000000Z,9.54685,9.53887
2017-03-06T22:00:00.000000000Z,9.52378,9.51924
2017-03-07T22:00:00.000000000Z,9.54855,9.54415
2017-03-08T22:00:00.000000000Z,9.57148,9.56548
2017-03-09T22:00:00.000000000Z,9.63330,9.59987
2017-03-12T21:00:00.000000000Z,9.52755,9.52479
2017-03-13T21:00:00.000000000Z,9.51689,9.50870
2017-03-14T21:00:00.000000000Z,9.51940,9.50947
2017-03-15T21:00:00.000000000Z,9.49764,9.49169
2017-03-16T21:00:00.000000000Z,9.50140,9.47517
2017-03-19T21:00:00.000000000Z,9.47661,9.47300
2017-03-20T21:00:00.000000000Z,9.51608,9.50553
2017-03-21T21:00:00.000000000Z,9.50233,9.49758
2017-03-22T21:00:00.000000000Z,9.52672,9.52106
2017-03-23T21:00:00.000000000Z,9.53638,9.49128
2017-03-26T21:00:00.000000000Z,9.55419,9.54246
2017-03-27T21:00:00.000000000Z,9.55430,9.54685
2017-03-28T21:00:00.000000000Z,9.54976,9.54392
2017-03-29T21:00:00.000000000Z,9.54954,9.54346
2017-03-30T21:00:00.000000000Z,9.57167,9.54024
2017-04-02T21:00:00.000000000Z,9.56143,9.54923
2017-04-03T21:00:00.000000000Z,9.61952,9.61040
2017-04-04T21:00:00.000000000Z,9.58837,9.58160
2017-04-05T21:00:00.000000000Z,9.60964,9.60247
2017-04-06T21:00:00.000000000Z,9.61691,9.59598
2017-04-09T21:00:00.000000000Z,9.62061,9.61621
2017-04-10T21:00:00.000000000Z,9.61130,9.60404
2017-04-11T21:00:00.000000000Z,9.57770,9.56990
2017-04-12T21:00:00.000000000Z,9.60056,9.59487
2017-04-13T21:00:00.000000000Z,9.61032,9.58299
2017-04-16T21:00:00.000000000Z,9.57830,9.57280
2017-04-17T21:00:00.000000000Z,9.61240,9.60718
2017-04-18T21:00:00.000000000Z,9.61369,9.60790
2017-04-19T21:00:00.000000000Z,9.63327,9.62760
2017-04-20T21:00:00.000000000Z,9.67288,9.63641
2017-04-23T21:00:00.000000000Z,9.63053,9.62310
2017-04-24T21:00:00.000000000Z,9.59944,9.57560
2017-04-25T21:00:00.000000000Z,9.55930,9.55131
2017-04-26T21:00:00.000000000Z,9.60833,9.60290
2017-04-27T21:00:00.000000000Z,9.65785,9.63644
2017-04-30T21:00:00.000000000Z,9.64872,9.64020
2017-05-01T21:00:00.000000000Z,9.62465,9.62035
2017-05-02T21:00:00.000000000Z,9.63799,9.62670
2017-05-03T21:00:00.000000000Z,9.70346,9.69810
2017-05-04T21:00:00.000000000Z,9.69985,9.64150
2017-05-07T21:00:00.000000000Z,9.66541,9.65963
2017-05-08T21:00:00.000000000Z,9.67040,9.66315
2017-05-09T21:00:00.000000000Z,9.70045,9.69428
