time,Ask Close,Bid Close
2017-01-02T22:00:00.000000000Z,14.40406,14.38056
2017-01-03T22:00:00.000000000Z,14.29733,14.27099
2017-01-04T22:00:00.000000000Z,14.42328,14.38590
2017-01-05T22:00:00.000000000Z,14.52832,14.43031
2017-01-08T22:00:00.000000000Z,14.47138,14.43484
2017-01-09T22:00:00.000000000Z,14.51567,14.49164
2017-01-10T22:00:00.000000000Z,14.57241,14.51152
2017-01-11T22:00:00.000000000Z,14.34793,14.31842
2017-01-12T22:00:00.000000000Z,14.43320,14.33453
2017-01-15T22:00:00.000000000Z,14.55307,14.48346
2017-01-16T22:00:00.000000000Z,14.44599,14.41100
2017-01-17T22:00:00.000000000Z,14.50394,14.47702
2017-01-18T22:00:00.000000000Z,14.47940,14.44416
2017-01-19T22:00:00.000000000Z,14.59639,14.50389
2017-01-22T22:00:00.000000000Z,14.54609,14.49065
2017-01-23T22:00:00.000000000Z,14.38249,14.34033
2017-01-24T22:00:00.000000000Z,14.25694,14.20246
2017-01-25T22:00:00.000000000Z,14.29062,14.24918
2017-01-26T22:00:00.000000000Z,14.45555,14.36186
2017-01-29T22:00:00.000000000Z,14.46610,14.42774
2017-01-30T22:00:00.000000000Z,14.56843,14.52855
2017-01-31T22:00:00.000000000Z,14.53271,14.47981
2017-02-01T22:00:00.000000000Z,14.42178,14.39796
2017-02-02T22:00:00.000000000Z,14.34772,14.28091
2017-02-05T22:00:00.000000000Z,14.33177,14.24244
2017-02-06T22:00:00.000000000Z,14.39599,14.34258
2017-02-07T22:00:00.000000000Z,14.36961,14.33212
2017-02-08T22:00:00.000000000Z,14.31465,14.22659
2017-02-09T22:00:00.000000000Z,14.26940,14.17598
2017-02-12T22:00:00.000000000Z,14.14880,14.11286
2017-02-13T22:00:00.000000000Z,13.88049,13.84146
2017-02-14T22:00:00.000000000Z,13.70949,13.67238
2017-02-15T22:00:00.000000000Z,13.93921,13.86534
2017-02-16T22:00:00.000000000Z,13.90521,13.80722
2017-02-19T22:00:00.000000000Z,13.86477,13.82463
2017-02-20T22:00:00.000000000Z,13.86628,13.82033
2017-02-21T22:00:00.000000000Z,13.71618,13.67694
2017-02-22T22:00:00.000000000Z,13.63350,13.60834
2017-02-23T22:00:00.000000000Z,13.71760,13.63950
2017-02-26T22:00:00.000000000Z,13.78501,13.76038
2017-02-27T22:00:00.000000000Z,13.90514,13.86561
2017-02-28T22:00:00.000000000Z,13.75556,13.71911
2017-03-01T22:00:00.000000000Z,13.83357,13.81148
